职位代码,职位名称,部门名称,职位层级,招录人数,学历,专业要求,考试科目,是否限2026届,年龄,联系电话,备注
250090201013,综合管理岗（二）,抚州市乐安县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），资产评估（0256），集成电路科学与工程（0770），电子科学与技术（0774），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），电子信息（0854），集成电路科学与工程（0873），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），集成电路科学与工程（1401）；本科专业：经济与贸易类（0204），电子信息类（0807），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250090201015,综合管理岗（四）,抚州市乐安县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），资产评估（0256），集成电路科学与工程（0770），电子科学与技术（0774），中药学（0781），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），电子信息（0854），集成电路科学与工程（0873），中药学（1008），中药（1056），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），集成电路科学与工程（1401）；本科专业：经济与贸易类（0204），电子信息类（0807），中药学类（1008），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250090201006,综合管理岗,抚州市乐安县统计局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），统计学（020208），应用统计（0252），国际商务（0254），统计学（0270），统计学（0714），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济与贸易类（0204），统计学类（0712），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250110201039,综合管理岗（一）,抚州市金溪县秀谷镇,乡镇,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），农学（09），管理学（12），智能科学与技术（1405）；本科专业：经济与贸易类（0204），统计学类（0712），计算机类（0809），农学（09），管理学（12）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-5397523,
230040201005,综合管理岗,上饶市信州区发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-8222774,
230050201014,业务岗,上饶市广丰区工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），集成电路科学与工程（0770），电子科学与技术（0774），计算机科学与技术（0775），智能科学与技术（0788），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），计算机科学与技术（0812），水声工程（082403），软件工程（0835），网络空间安全（0839），电子信息（0854），集成电路科学与工程（0873），智能科学与技术（0876），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），集成电路科学与工程（1401），智能科学与技术（1405）；本科专业：经济学类（0201），经济与贸易类（0204），统计学类（0712），电子信息类（0807），计算机类（0809），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-2637437,
230080602032,财务岗1,铅山县供销合作社联合社,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5331603,
230080602033,财务岗2,铅山县供销合作社联合社,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5331603,
230080201020,综合岗,铅山县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），汉语国际教育（045174），国际中文教育（0453），中国语言文学（0501），统计学（0714），环境科学与工程（0776），动力工程及工程热物理（0807），建筑学（0813），土木工程（0814），环境科学与工程（0830），城乡规划学（0833），建筑（0851），城乡规划（0853），环境工程（085701），能源动力（0858），土木工程（085901），风景园林（0862），环境科学与工程（0971）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204），中国语言文学类（0501），统计学类（0712），能源动力类（0805），土木类（0810），环境科学与工程类（0825），建筑类（0828）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0793-5331603,
230090201023,综合管理岗,横峰县岑阳镇,乡镇,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），资产评估（0256），马克思主义理论（0305），中共党史党建学（0307），计算机科学与技术（0775），智能科学与技术（0788），动力工程及工程热物理（0807），计算机科学与技术（0812），土木工程（0814），软件工程（0835），网络空间安全（0839），电子信息（0854），能源动力（0858），土木工程（085901），智能科学与技术（0876），林学（0907），农业（0951），林业（0954），工商管理学（1202），农林经济管理（1203），工商管理（1251），会计（1253），旅游管理（1254），审计（1257），智能科学与技术（1405）；本科专业：经济与贸易类（0204），马克思主义理论类（0305），能源动力类（0805），计算机类（0809），土木类（0810），林学类（0905），工商管理类（1202），农业经济管理类（1203），旅游管理类（1209）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5793141,
230100201022,综合管理岗,弋阳县商务局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202），电子商务类（1208）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5821817,
230130201039,综合管理岗,鄱阳县饶州街道办事处,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），管理科学与工程（0871），农业（0951），管理科学与工程（1201），农林经济管理（1203），工程管理（1256）；本科专业：经济与贸易类（0204），管理科学与工程类（1201），农业经济管理类（1203）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0793-6669506,须在本市艰苦边远地区县乡机关最低服务5年。
230110201010,综合管理岗,万年县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），管理科学与工程（0871），管理科学与工程（1201），工程管理（1256）；本科专业：经济学类（0201），经济与贸易类（0204），管理科学与工程类（1201）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-3859399,
